district,mandal,gp,female,male,transgender
KHAMMAM,ASWAPURAM,AMERDA,418,300.0,1.0
KHAMMAM,ASWAPURAM,AMMAGARIPALLI,532,390.0,2.0
KHAMMAM,ASWAPURAM,ANANDAPURAM,209,137.0,2.4959349593495936
KHAMMAM,ASWAPURAM,ASWAPURAM,1670,947.0,2.4959349593495936
KHAMMAM,ASWAPURAM,CHINTRIYALA,395,298.0,1.0
KHAMMAM,ASWAPURAM,GOLLAGUDEM,579,377.0,1.0
KHAMMAM,ASWAPURAM,GONDIGUDEM,756,580.0,3.0
KHAMMAM,ASWAPURAM,JAGGARAM,370,253.0,1.0
KHAMMAM,ASWAPURAM,MALLELAMADUGU,599,410.0,2.4959349593495936
KHAMMAM,ASWAPURAM,MITTAGUDEM,451,282.0,2.4959349593495936
KHAMMAM,ASWAPURAM,MONDIKUNTA,456,312.0,2.0
KHAMMAM,ASWAPURAM,NELLIPAKA,547,353.0,3.0
KHAMMAM,ASWAPURAM,THUMMALACHERUVU,837,662.0,5.0
KHAMMAM,ASWARAOPETA,ACHUTHAPURAM,351,272.0,2.4959349593495936
KHAMMAM,ASWARAOPETA,ANANTHARAM,312,254.0,1.0
KHAMMAM,ASWARAOPETA,ASUPAKA,1226,1006.0,5.0
KHAMMAM,ASWARAOPETA,ASWARAOPETA,515,350.0,7.0
KHAMMAM,ASWARAOPETA,BACHUVARIGUDEM,222,189.0,2.4959349593495936
KHAMMAM,ASWARAOPETA,GUMMADAVALLI,890,728.0,1.0
KHAMMAM,ASWARAOPETA,JAMMIGUDEM,398,317.0,3.0
KHAMMAM,ASWARAOPETA,KANNAIGUDEM,620,522.0,2.4959349593495936
KHAMMAM,ASWARAOPETA,KAVIDIGUNDLA,318,262.0,2.4959349593495936
KHAMMAM,ASWARAOPETA,KOTHA MAMILLAVARI GUDEM,285,250.0,1.0
KHAMMAM,ASWARAOPETA,NANDIPADU,761,594.0,3.0
KHAMMAM,ASWARAOPETA,NARAMVARIGUDEM,603,496.0,3.0
KHAMMAM,ASWARAOPETA,NARAYANA PURAM,903,762.0,2.0
KHAMMAM,ASWARAOPETA,OOTLAPALLI,731,579.0,2.4959349593495936
KHAMMAM,ASWARAOPETA,PERAIGUDEM,858,599.0,1.0
KHAMMAM,ASWARAOPETA,TIRUMALAKUNTA,697,545.0,2.0
KHAMMAM,BAYYARAM,BALAJIPETA,481,343.0,3.0
KHAMMAM,BAYYARAM,BAYYARAM,515,350.0,6.0
KHAMMAM,BAYYARAM,GOWRARAM,752,537.0,2.0
KHAMMAM,BAYYARAM,IRSULAPURAM,644,349.0,2.4959349593495936
KHAMMAM,BAYYARAM,KAMBALAPALLI,1094,825.0,1.0
KHAMMAM,BAYYARAM,KOTHAGUDEM,851,613.0,3.0
KHAMMAM,BAYYARAM,KOTHAPETA,1851,1237.0,3.0
KHAMMAM,BAYYARAM,RAMACHANDRAPURAM,570,414.0,4.0
KHAMMAM,BAYYARAM,UPPALAPADU,723,485.0,1.0
KHAMMAM,BAYYARAM,VENKATAPURAM,844,628.0,4.0
KHAMMAM,BAYYARAM,VENKATRAMPURAM,502,343.0,2.4959349593495936
KHAMMAM,BHADRACHALAM,BHADRACHALAM,515,350.0,2.4959349593495936
KHAMMAM,BHADRACHALAM,YETAPAKA,5,5.0,2.4959349593495936
KHAMMAM,BONAKAL,ALLAPADU,480,326.0,1.0
KHAMMAM,BONAKAL,BONAKAL,924,551.0,1.0
KHAMMAM,BONAKAL,BRAHMANAPALLE (K),353,242.0,2.0
KHAMMAM,BONAKAL,CHINNA BEERAVALLI,301,221.0,2.0
KHAMMAM,BONAKAL,CHIRUNOMULA,533,358.0,1.0
KHAMMAM,BONAKAL,CHOPPAKATLA PALEM,518,338.0,2.0
KHAMMAM,BONAKAL,GARLAPADU,124,87.0,2.4959349593495936
KHAMMAM,BONAKAL,GOVINDAPURAM,195,112.0,2.4959349593495936
KHAMMAM,BONAKAL,JANAKIPURAM,422,283.0,1.0
KHAMMAM,BONAKAL,KALAKOTA,485,321.0,1.0
KHAMMAM,BONAKAL,LAXMIPURAM,855,584.0,1.0
KHAMMAM,BONAKAL,MOTAMARRI,664,457.0,2.4959349593495936
KHAMMAM,BONAKAL,MUSTIKUNTLA,979,629.0,2.4959349593495936
KHAMMAM,BONAKAL,NARAYANAPURAM,331,218.0,1.0
KHAMMAM,BONAKAL,PEDDABEERAVALLI,389,231.0,1.0
KHAMMAM,BONAKAL,RAMAPURAM,227,164.0,2.0
KHAMMAM,BONAKAL,RAPALLI,217,175.0,2.4959349593495936
KHAMMAM,BONAKAL,RAVINOOTHALA,1007,683.0,2.0
KHAMMAM,BONAKAL,RAYANAPETA,335,243.0,2.0
KHAMMAM,BONAKAL,TUTIKUNTLA,440,271.0,1.0
KHAMMAM,BURGAMPAHAD,BURGAMPAHAD,1161,708.0,2.0
KHAMMAM,BURGAMPAHAD,IRVENDI,608,461.0,3.0
KHAMMAM,BURGAMPAHAD,LAKSHMIPURAM,465,328.0,1.0
KHAMMAM,BURGAMPAHAD,MORAMPALLE,1947,1361.0,7.0
KHAMMAM,BURGAMPAHAD,MUSALIMADUGU,715,458.0,2.4959349593495936
KHAMMAM,BURGAMPAHAD,NAGINENIPROLU,1053,678.0,1.0
KHAMMAM,BURGAMPAHAD,PINAPAKA PATTINAGAR,850,586.0,5.0
KHAMMAM,BURGAMPAHAD,SAARAPAKA,515,350.0,7.0
KHAMMAM,BURGAMPAHAD,TEKULACHERUVU,246,185.0,1.0
KHAMMAM,CHANDRUGONDA,ABBUGUDEM,449,375.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,ANNAPUREDDIPALLI,978,704.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,CHANDRUGONDA,1253,943.0,5.0
KHAMMAM,CHANDRUGONDA,DAMERACHERLA,524,438.0,2.0
KHAMMAM,CHANDRUGONDA,GANUGAPADU,882,635.0,1.0
KHAMMAM,CHANDRUGONDA,GUMPENA,369,272.0,2.0
KHAMMAM,CHANDRUGONDA,GURRAMGUDEM,529,380.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,MADDUKURU,366,212.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,MARRIGUDEM,424,357.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,NARSAPURAM,554,374.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,PEDDIREDDIGUDEM,1074,741.0,2.0
KHAMMAM,CHANDRUGONDA,PENTLAM,458,371.0,1.0
KHAMMAM,CHANDRUGONDA,POKALAGUDEM,818,646.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,RAVIKAMPADU,557,437.0,3.0
KHAMMAM,CHANDRUGONDA,THUNGARAM,530,378.0,1.0
KHAMMAM,CHANDRUGONDA,TIPPANAPALLI,900,654.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,VOOTUPALLI,279,222.0,2.4959349593495936
KHAMMAM,CHERLA,CHERLA,515,350.0,2.4959349593495936
KHAMMAM,CHERLA,DEVARAPALLI,671,525.0,2.4959349593495936
KHAMMAM,CHERLA,GOMMUGUDEM,219,134.0,1.0
KHAMMAM,CHERLA,KUDUNURU,359,267.0,1.0
KHAMMAM,CHERLA,KURNAVALLY,629,450.0,2.4959349593495936
KHAMMAM,CHERLA,MOGALLAPALLY,541,417.0,2.0
KHAMMAM,CHERLA,PEDAMIDISILERU,1104,833.0,4.0
KHAMMAM,CHERLA,PEDDIPALLI,568,408.0,2.4959349593495936
KHAMMAM,CHERLA,PUSUGUPPA,284,178.0,1.0
KHAMMAM,CHERLA,R.KOTHAGUDEM,579,442.0,1.0
KHAMMAM,CHERLA,SATYANARAYANAPURAM,271,177.0,1.0
KHAMMAM,CHERLA,SUBBAMPETA,622,467.0,2.0
KHAMMAM,CHERLA,TEGADA,855,645.0,2.0
KHAMMAM,CHERLA,UPPERUGUDEM,393,238.0,1.0
KHAMMAM,CHINTHAKANI,ANANTHASAGAR,364,228.0,2.4959349593495936
KHAMMAM,CHINTHAKANI,BASVAPURAM,280,182.0,1.0
KHAMMAM,CHINTHAKANI,BOPPARAM,459,273.0,2.0
KHAMMAM,CHINTHAKANI,CHINAMANDAVA,414,270.0,2.0
KHAMMAM,CHINTHAKANI,CHINTHAKANI,1048,663.0,1.0
KHAMMAM,CHINTHAKANI,JAGANNADHAPURAM,210,146.0,1.0
KHAMMAM,CHINTHAKANI,KODUMUR,583,363.0,2.0
