district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
KHAMMAM,ASWAPURAM,AMERDA,418,300.0,1.0,718.0,718.0,41.78272980501393,58.21727019498607,346
KHAMMAM,ASWAPURAM,AMMAGARIPALLI,532,390.0,2.0,922.0,922.0,42.299349240780906,57.70065075921909,277
KHAMMAM,ASWAPURAM,ANANDAPURAM,209,137.0,2.4959349593495936,346.0,346.0,39.59537572254335,60.40462427745664,493
KHAMMAM,ASWAPURAM,ASWAPURAM,1670,947.0,2.4959349593495936,2617.0,2617.0,36.18647306075659,63.8135269392434,19
KHAMMAM,ASWAPURAM,CHINTRIYALA,395,298.0,1.0,693.0,693.0,43.001443001443,56.99855699855701,358
KHAMMAM,ASWAPURAM,GOLLAGUDEM,579,377.0,1.0,956.0,1543.0,24.43292287751134,37.52430330524951,113
KHAMMAM,ASWAPURAM,GONDIGUDEM,756,580.0,3.0,1336.0,1336.0,43.41317365269461,56.58682634730538,145
KHAMMAM,ASWAPURAM,JAGGARAM,370,253.0,1.0,623.0,1431.0,17.679944095038437,25.85604472396925,131
KHAMMAM,ASWAPURAM,MALLELAMADUGU,599,410.0,2.4959349593495936,1009.0,1009.0,40.634291377601585,59.365708622398415,241
KHAMMAM,ASWAPURAM,MITTAGUDEM,451,282.0,2.4959349593495936,733.0,733.0,38.47203274215553,61.52796725784447,341
KHAMMAM,ASWAPURAM,MONDIKUNTA,456,312.0,2.0,768.0,768.0,40.625,59.375,332
KHAMMAM,ASWAPURAM,NELLIPAKA,547,353.0,3.0,900.0,900.0,39.22222222222223,60.77777777777777,289
KHAMMAM,ASWAPURAM,THUMMALACHERUVU,837,662.0,5.0,1499.0,1499.0,44.162775183455636,55.837224816544364,119
KHAMMAM,ASWARAOPETA,ACHUTHAPURAM,351,272.0,2.4959349593495936,623.0,623.0,43.659711075441415,56.34028892455859,381
KHAMMAM,ASWARAOPETA,ANANTHARAM,312,254.0,1.0,566.0,1758.0,14.448236632536974,17.747440273037544,76
KHAMMAM,ASWARAOPETA,ASUPAKA,1226,1006.0,5.0,2232.0,2232.0,45.07168458781362,54.92831541218638,33
KHAMMAM,ASWARAOPETA,ASWARAOPETA,515,350.0,7.0,865.0,865.0,40.46242774566474,59.53757225433526,299
KHAMMAM,ASWARAOPETA,BACHUVARIGUDEM,222,189.0,2.4959349593495936,411.0,411.0,45.98540145985402,54.01459854014598,476
KHAMMAM,ASWARAOPETA,GUMMADAVALLI,890,728.0,1.0,1618.0,1618.0,44.9938195302843,55.006180469715694,101
KHAMMAM,ASWARAOPETA,JAMMIGUDEM,398,317.0,3.0,715.0,715.0,44.33566433566434,55.66433566433566,347
KHAMMAM,ASWARAOPETA,KANNAIGUDEM,620,522.0,2.4959349593495936,1142.0,1142.0,45.709281961471106,54.290718038528894,193
KHAMMAM,ASWARAOPETA,KAVIDIGUNDLA,318,262.0,2.4959349593495936,580.0,580.0,45.17241379310345,54.82758620689655,401
KHAMMAM,ASWARAOPETA,KOTHA MAMILLAVARI GUDEM,285,250.0,1.0,535.0,535.0,46.728971962616825,53.271028037383175,422
KHAMMAM,ASWARAOPETA,NANDIPADU,761,594.0,3.0,1355.0,1355.0,43.837638376383765,56.16236162361624,139
KHAMMAM,ASWARAOPETA,NARAMVARIGUDEM,603,496.0,3.0,1099.0,1099.0,45.1319381255687,54.868061874431305,208
KHAMMAM,ASWARAOPETA,NARAYANA PURAM,903,762.0,2.0,1665.0,1665.0,45.765765765765764,54.234234234234236,92
KHAMMAM,ASWARAOPETA,OOTLAPALLI,731,579.0,2.4959349593495936,1310.0,1310.0,44.19847328244275,55.80152671755725,156
KHAMMAM,ASWARAOPETA,PERAIGUDEM,858,599.0,1.0,1457.0,1457.0,41.11187371310913,58.88812628689087,127
KHAMMAM,ASWARAOPETA,TIRUMALAKUNTA,697,545.0,2.0,1242.0,1242.0,43.88083735909823,56.11916264090178,170
KHAMMAM,BAYYARAM,BALAJIPETA,481,343.0,3.0,824.0,824.0,41.62621359223301,58.37378640776699,313
KHAMMAM,BAYYARAM,BAYYARAM,515,350.0,6.0,865.0,3053.0,11.464133639043563,16.8686537831641,13
KHAMMAM,BAYYARAM,GOWRARAM,752,537.0,2.0,1289.0,2794.0,19.219756621331424,26.91481746599857,17
KHAMMAM,BAYYARAM,IRSULAPURAM,644,349.0,2.4959349593495936,993.0,993.0,35.146022155085596,64.8539778449144,246
KHAMMAM,BAYYARAM,KAMBALAPALLI,1094,825.0,1.0,1919.0,1919.0,42.9911412193851,57.0088587806149,60
KHAMMAM,BAYYARAM,KOTHAGUDEM,851,613.0,3.0,1464.0,1491.0,41.11334674714956,57.075788061703555,120
KHAMMAM,BAYYARAM,KOTHAPETA,1851,1237.0,3.0,3088.0,3088.0,40.05829015544041,59.94170984455959,10
KHAMMAM,BAYYARAM,RAMACHANDRAPURAM,570,414.0,4.0,984.0,1319.0,31.387414708112203,43.214556482183475,150
KHAMMAM,BAYYARAM,UPPALAPADU,723,485.0,1.0,1208.0,1208.0,40.14900662251656,59.85099337748344,175
KHAMMAM,BAYYARAM,VENKATAPURAM,844,628.0,4.0,1472.0,2912.0,21.565934065934066,28.983516483516485,16
KHAMMAM,BAYYARAM,VENKATRAMPURAM,502,343.0,2.4959349593495936,845.0,845.0,40.59171597633136,59.408284023668635,303
KHAMMAM,BHADRACHALAM,BHADRACHALAM,515,350.0,2.4959349593495936,865.0,865.0,40.46242774566474,59.53757225433526,299
KHAMMAM,BHADRACHALAM,YETAPAKA,5,5.0,2.4959349593495936,10.0,10.0,50.0,50.0,526
KHAMMAM,BONAKAL,ALLAPADU,480,326.0,1.0,806.0,806.0,40.44665012406948,59.553349875930515,318
KHAMMAM,BONAKAL,BONAKAL,924,551.0,1.0,1475.0,1475.0,37.35593220338983,62.64406779661017,123
KHAMMAM,BONAKAL,BRAHMANAPALLE (K),353,242.0,2.0,595.0,595.0,40.67226890756302,59.32773109243698,390
KHAMMAM,BONAKAL,CHINNA BEERAVALLI,301,221.0,2.0,522.0,522.0,42.337164750957854,57.662835249042146,424
KHAMMAM,BONAKAL,CHIRUNOMULA,533,358.0,1.0,891.0,891.0,40.17957351290685,59.82042648709316,293
KHAMMAM,BONAKAL,CHOPPAKATLA PALEM,518,338.0,2.0,856.0,1513.0,22.33972240581626,34.236615994712494,117
KHAMMAM,BONAKAL,GARLAPADU,124,87.0,2.4959349593495936,211.0,211.0,41.23222748815166,58.767772511848335,513
KHAMMAM,BONAKAL,GOVINDAPURAM,195,112.0,2.4959349593495936,307.0,307.0,36.48208469055375,63.51791530944625,503
KHAMMAM,BONAKAL,JANAKIPURAM,422,283.0,1.0,705.0,705.0,40.14184397163121,59.85815602836879,353
KHAMMAM,BONAKAL,KALAKOTA,485,321.0,1.0,806.0,806.0,39.826302729528535,60.17369727047146,318
KHAMMAM,BONAKAL,LAXMIPURAM,855,584.0,1.0,1439.0,1742.0,33.524684270952925,49.08151549942595,79
KHAMMAM,BONAKAL,MOTAMARRI,664,457.0,2.4959349593495936,1121.0,1121.0,40.76717216770741,59.2328278322926,201
KHAMMAM,BONAKAL,MUSTIKUNTLA,979,629.0,2.4959349593495936,1608.0,1608.0,39.116915422885576,60.88308457711443,104
KHAMMAM,BONAKAL,NARAYANAPURAM,331,218.0,1.0,549.0,1428.0,15.266106442577032,23.179271708683473,133
KHAMMAM,BONAKAL,PEDDABEERAVALLI,389,231.0,1.0,620.0,620.0,37.25806451612903,62.74193548387097,382
KHAMMAM,BONAKAL,RAMAPURAM,227,164.0,2.0,391.0,391.0,41.94373401534527,58.05626598465473,484
KHAMMAM,BONAKAL,RAPALLI,217,175.0,2.4959349593495936,392.0,392.0,44.642857142857146,55.35714285714286,483
KHAMMAM,BONAKAL,RAVINOOTHALA,1007,683.0,2.0,1690.0,1690.0,40.414201183431956,59.585798816568044,86
KHAMMAM,BONAKAL,RAYANAPETA,335,243.0,2.0,578.0,578.0,42.04152249134948,57.95847750865052,403
KHAMMAM,BONAKAL,TUTIKUNTLA,440,271.0,1.0,711.0,711.0,38.11533052039381,61.88466947960619,349
KHAMMAM,BURGAMPAHAD,BURGAMPAHAD,1161,708.0,2.0,1869.0,1869.0,37.881219903691814,62.11878009630819,67
KHAMMAM,BURGAMPAHAD,IRVENDI,608,461.0,3.0,1069.0,1069.0,43.124415341440596,56.8755846585594,218
KHAMMAM,BURGAMPAHAD,LAKSHMIPURAM,465,328.0,1.0,793.0,2004.0,16.367265469061877,23.20359281437126,51
KHAMMAM,BURGAMPAHAD,MORAMPALLE,1947,1361.0,7.0,3308.0,3308.0,41.14268440145103,58.85731559854898,4
KHAMMAM,BURGAMPAHAD,MUSALIMADUGU,715,458.0,2.4959349593495936,1173.0,1666.0,27.490996398559425,42.9171668667467,91
KHAMMAM,BURGAMPAHAD,NAGINENIPROLU,1053,678.0,1.0,1731.0,1731.0,39.168110918544194,60.831889081455806,80
KHAMMAM,BURGAMPAHAD,PINAPAKA PATTINAGAR,850,586.0,5.0,1436.0,1436.0,40.807799442896936,59.19220055710307,129
KHAMMAM,BURGAMPAHAD,SAARAPAKA,515,350.0,7.0,865.0,865.0,40.46242774566474,59.53757225433526,299
KHAMMAM,BURGAMPAHAD,TEKULACHERUVU,246,185.0,1.0,431.0,431.0,42.92343387470998,57.076566125290014,467
KHAMMAM,CHANDRUGONDA,ABBUGUDEM,449,375.0,2.4959349593495936,824.0,824.0,45.50970873786408,54.490291262135926,313
KHAMMAM,CHANDRUGONDA,ANNAPUREDDIPALLI,978,704.0,2.4959349593495936,1682.0,1682.0,41.85493460166468,58.14506539833532,88
KHAMMAM,CHANDRUGONDA,CHANDRUGONDA,1253,943.0,5.0,2196.0,2196.0,42.94171220400729,57.05828779599271,35
KHAMMAM,CHANDRUGONDA,DAMERACHERLA,524,438.0,2.0,962.0,962.0,45.53014553014553,54.469854469854475,262
KHAMMAM,CHANDRUGONDA,GANUGAPADU,882,635.0,1.0,1517.0,1517.0,41.85893210283454,58.141067897165456,115
KHAMMAM,CHANDRUGONDA,GUMPENA,369,272.0,2.0,641.0,641.0,42.43369734789392,57.56630265210608,375
