district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
NALGONDA,ALAIR,ALAIR,463,284,2.3849259757738897,747,747,38.01874163319947,61.98125836680054,459
NALGONDA,ALAIR,AMMANABOLE,470,336,2.3849259757738897,806,2164,15.526802218114602,21.719038817005547,30
NALGONDA,ALAIR,BAHADURPET,204,124,2.3849259757738897,328,328,37.80487804878049,62.19512195121951,737
NALGONDA,ALAIR,DILAWARPUR,179,109,2.3849259757738897,288,994,10.96579476861167,18.008048289738433,316
NALGONDA,ALAIR,GOLANKONDA,484,273,3.0,757,757,36.06340819022457,63.936591809775436,453
NALGONDA,ALAIR,GUNDLAGUDEM,341,163,2.3849259757738897,504,504,32.34126984126984,67.65873015873017,622
NALGONDA,ALAIR,IKKURTHI,281,162,2.0,443,443,36.56884875846501,63.43115124153499,662
NALGONDA,ALAIR,KOLANUPAKA,463,910,3.0,1373,1373,66.27822286962855,33.72177713037145,175
NALGONDA,ALAIR,KOLLUR,493,317,1.0,810,810,39.1358024691358,60.864197530864196,419
NALGONDA,ALAIR,MANDANPALLY,231,117,1.0,348,348,33.62068965517241,66.37931034482759,724
NALGONDA,ALAIR,MANTHAPURI,267,162,2.0,429,429,37.76223776223776,62.23776223776224,672
NALGONDA,ALAIR,MATOOR,379,209,2.0,588,588,35.544217687074834,64.45578231292517,565
NALGONDA,ALAIR,PATELGUDA,416,282,1.0,698,698,40.40114613180516,59.598853868194844,492
NALGONDA,ALAIR,RAGHAVAPUR,257,146,2.3849259757738897,403,2062,7.080504364694471,12.463627546071775,39
NALGONDA,ALAIR,SHARAJIPET,534,284,1.0,818,818,34.71882640586797,65.28117359413203,412
NALGONDA,ALAIR,SHARBANAPUR,112,51,2.3849259757738897,163,163,31.28834355828221,68.71165644171779,799
NALGONDA,ALAIR,TANGUTOOR,479,251,3.0,730,730,34.38356164383561,65.61643835616438,472
NALGONDA,ALAIR,THURPU GUDEM,173,76,2.3849259757738897,249,249,30.522088353413658,69.47791164658635,777
NALGONDA,ANUMULA,ALWALA,695,448,1.0,1143,1143,39.195100612423445,60.80489938757655,246
NALGONDA,ANUMULA,ANNARAM,404,239,2.3849259757738897,643,3296,7.251213592233009,12.257281553398059,3
NALGONDA,ANUMULA,ANUMULA,463,284,2.0,747,747,38.01874163319947,61.98125836680054,459
NALGONDA,ANUMULA,BOYA GUDA,339,237,5.0,576,576,41.14583333333333,58.854166666666664,574
NALGONDA,ANUMULA,CHELMAREDDY GUDA,450,226,2.3849259757738897,676,676,33.43195266272189,66.5680473372781,510
NALGONDA,ANUMULA,GARKANATTUTHANDA,638,442,2.0,1080,1080,40.925925925925924,59.074074074074076,276
