district_,mandal,muncipality,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.1,329,233,2.458333333333333,562,1220,19.098360655737707,26.967213114754095,17
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.10,209,109,2.458333333333333,318,1102,9.891107078039928,18.96551724137931,22
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.11,172,71,2.458333333333333,243,836,8.492822966507177,20.574162679425836,31
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.12,100,46,1.0,146,678,6.784660766961652,14.749262536873156,37
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.13,311,239,1.0,550,963,24.81827622014538,32.294911734164074,26
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.14,219,126,2.458333333333333,345,856,14.719626168224298,25.58411214953271,29
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.15,266,170,2.458333333333333,436,804,21.144278606965177,33.08457711442786,33
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.16,157,57,1.0,214,487,11.704312114989733,32.238193018480494,42
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.17,309,182,2.458333333333333,491,1676,10.859188544152746,18.43675417661098,7
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.18,340,261,1.0,601,1023,25.513196480938415,33.235581622678396,23
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.19,504,357,2.458333333333333,861,1233,28.953771289537713,40.87591240875913,16
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.2,303,191,2.458333333333333,494,1164,16.40893470790378,26.03092783505155,21
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.20,169,112,2.0,281,835,13.41317365269461,20.23952095808383,32
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.3,431,267,1.0,698,1259,21.207307386814932,34.233518665607626,14
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.4,243,157,2.458333333333333,400,1359,11.55261221486387,17.880794701986755,12
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.5,306,201,1.0,507,1658,12.123039806996381,18.455971049457176,8
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.6,179,110,2.458333333333333,289,990,11.11111111111111,18.08080808080808,25
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.7,195,114,2.458333333333333,309,1381,8.254887762490949,14.120202751629254,10
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.8,301,173,1.0,474,1358,12.739322533136965,22.164948453608247,13
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.9,239,172,1.0,411,1369,12.56391526661797,17.457998539079618,11
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.1,186,123,1.0,309,1220,10.081967213114753,15.245901639344261,17
