District ,Mandal,GP,female,male,transgender
KHAMMAM,ASWAPURAM,AMERDA,418,300,1
KHAMMAM,ASWAPURAM,AMMAGARIPALLI,532,390,2
KHAMMAM,ASWAPURAM,ANANDAPURAM,209,137,
KHAMMAM,ASWAPURAM,ASWAPURAM,1670,947,8
KHAMMAM,ASWAPURAM,CHINTRIYALA,395,298,1
KHAMMAM,ASWAPURAM,GOLLAGUDEM,579,377,1
KHAMMAM,ASWAPURAM,GONDIGUDEM,756,580,3
KHAMMAM,ASWAPURAM,JAGGARAM,370,253,1
KHAMMAM,ASWAPURAM,MALLELAMADUGU,599,410,
KHAMMAM,ASWAPURAM,MITTAGUDEM,451,282,
KHAMMAM,ASWAPURAM,MONDIKUNTA,456,312,2
KHAMMAM,ASWAPURAM,NELLIPAKA,547,353,3
KHAMMAM,ASWAPURAM,THUMMALACHERUVU,837,662,5
KHAMMAM,ASWARAOPETA,ACHUTHAPURAM,351,272,
KHAMMAM,ASWARAOPETA,ANANTHARAM,312,254,1
KHAMMAM,ASWARAOPETA,ASUPAKA,1226,1006,5
KHAMMAM,ASWARAOPETA,ASWARAOPETA,2330,1675,7
KHAMMAM,ASWARAOPETA,BACHUVARIGUDEM,222,189,
KHAMMAM,ASWARAOPETA,GUMMADAVALLI,890,728,1
KHAMMAM,ASWARAOPETA,JAMMIGUDEM,398,317,3
KHAMMAM,ASWARAOPETA,KANNAIGUDEM,620,522,
KHAMMAM,ASWARAOPETA,KAVIDIGUNDLA,318,262,
KHAMMAM,ASWARAOPETA,KOTHA MAMILLAVARI GUDEM,285,250,1
KHAMMAM,ASWARAOPETA,NANDIPADU,761,594,3
KHAMMAM,ASWARAOPETA,NARAMVARIGUDEM,603,496,3
KHAMMAM,ASWARAOPETA,NARAYANA PURAM,903,762,2
KHAMMAM,ASWARAOPETA,OOTLAPALLI,731,579,
KHAMMAM,ASWARAOPETA,PERAIGUDEM,858,599,1
KHAMMAM,ASWARAOPETA,TIRUMALAKUNTA,697,545,2
KHAMMAM,BAYYARAM,BALAJIPETA,481,343,3
KHAMMAM,BAYYARAM,BAYYARAM,2172,1384,6
KHAMMAM,BAYYARAM,GOWRARAM,752,537,2
KHAMMAM,BAYYARAM,IRSULAPURAM,644,349,
KHAMMAM,BAYYARAM,KAMBALAPALLI,1094,825,1
KHAMMAM,BAYYARAM,KOTHAGUDEM,851,613,3
KHAMMAM,BAYYARAM,KOTHAPETA,1851,1237,3
KHAMMAM,BAYYARAM,RAMACHANDRAPURAM,570,414,4
KHAMMAM,BAYYARAM,UPPALAPADU,723,485,1
KHAMMAM,BAYYARAM,VENKATAPURAM,844,628,4
KHAMMAM,BAYYARAM,VENKATRAMPURAM,502,343,8
KHAMMAM,BHADRACHALAM,BHADRACHALAM,5387,2838,13
KHAMMAM,BHADRACHALAM,YETAPAKA,5,5,
KHAMMAM,BONAKAL,ALLAPADU,480,326,1
KHAMMAM,BONAKAL,BONAKAL,924,551,1
KHAMMAM,BONAKAL,BRAHMANAPALLE (K),353,242,2
KHAMMAM,BONAKAL,CHINNA BEERAVALLI,301,221,2
KHAMMAM,BONAKAL,CHIRUNOMULA,533,358,1
KHAMMAM,BONAKAL,CHOPPAKATLA PALEM,518,338,2
KHAMMAM,BONAKAL,GARLAPADU,124,87,
KHAMMAM,BONAKAL,GOVINDAPURAM,195,112,
KHAMMAM,BONAKAL,JANAKIPURAM,422,283,1
KHAMMAM,BONAKAL,KALAKOTA,485,321,1
KHAMMAM,BONAKAL,LAXMIPURAM,855,584,1
KHAMMAM,BONAKAL,MOTAMARRI,664,457,
KHAMMAM,BONAKAL,MUSTIKUNTLA,979,629,
KHAMMAM,BONAKAL,NARAYANAPURAM,331,218,1
KHAMMAM,BONAKAL,PEDDABEERAVALLI,389,231,1
KHAMMAM,BONAKAL,RAMAPURAM,227,164,2
KHAMMAM,BONAKAL,RAPALLI,217,175,
KHAMMAM,BONAKAL,RAVINOOTHALA,1007,683,2
KHAMMAM,BONAKAL,RAYANAPETA,335,243,2
KHAMMAM,BONAKAL,TUTIKUNTLA,440,271,1
KHAMMAM,BURGAMPAHAD,BURGAMPAHAD,1161,708,2
KHAMMAM,BURGAMPAHAD,IRVENDI,608,461,3
KHAMMAM,BURGAMPAHAD,LAKSHMIPURAM,465,328,1
KHAMMAM,BURGAMPAHAD,MORAMPALLE,1947,1361,7
KHAMMAM,BURGAMPAHAD,MUSALIMADUGU,715,458,
KHAMMAM,BURGAMPAHAD,NAGINENIPROLU,1053,678,1
KHAMMAM,BURGAMPAHAD,PINAPAKA PATTINAGAR,850,586,5
KHAMMAM,BURGAMPAHAD,SAARAPAKA,2506,1528,7
KHAMMAM,BURGAMPAHAD,TEKULACHERUVU,246,185,1
KHAMMAM,CHANDRUGONDA,ABBUGUDEM,449,375,
KHAMMAM,CHANDRUGONDA,ANNAPUREDDIPALLI,978,704,
KHAMMAM,CHANDRUGONDA,CHANDRUGONDA,1253,943,5
KHAMMAM,CHANDRUGONDA,DAMERACHERLA,524,438,2
KHAMMAM,CHANDRUGONDA,GANUGAPADU,882,635,1
KHAMMAM,CHANDRUGONDA,GUMPENA,369,272,2
KHAMMAM,CHANDRUGONDA,GURRAMGUDEM,529,380,
KHAMMAM,CHANDRUGONDA,MADDUKURU,366,212,
KHAMMAM,CHANDRUGONDA,MARRIGUDEM,424,357,
KHAMMAM,CHANDRUGONDA,NARSAPURAM,554,374,
KHAMMAM,CHANDRUGONDA,PEDDIREDDIGUDEM,1074,741,2
KHAMMAM,CHANDRUGONDA,PENTLAM,458,371,1
KHAMMAM,CHANDRUGONDA,POKALAGUDEM,818,646,9
KHAMMAM,CHANDRUGONDA,RAVIKAMPADU,557,437,3
KHAMMAM,CHANDRUGONDA,THUNGARAM,530,378,1
KHAMMAM,CHANDRUGONDA,TIPPANAPALLI,900,654,
KHAMMAM,CHANDRUGONDA,VOOTUPALLI,279,222,
KHAMMAM,CHERLA,CHERLA,2856,1884,13
KHAMMAM,CHERLA,DEVARAPALLI,671,525,
KHAMMAM,CHERLA,GOMMUGUDEM,219,134,1
KHAMMAM,CHERLA,KUDUNURU,359,267,1
KHAMMAM,CHERLA,KURNAVALLY,629,450,
KHAMMAM,CHERLA,MOGALLAPALLY,541,417,2
KHAMMAM,CHERLA,PEDAMIDISILERU,1104,833,4
KHAMMAM,CHERLA,PEDDIPALLI,568,408,
KHAMMAM,CHERLA,PUSUGUPPA,284,178,1
KHAMMAM,CHERLA,R.KOTHAGUDEM,579,442,1
KHAMMAM,CHERLA,SATYANARAYANAPURAM,271,177,1
KHAMMAM,CHERLA,SUBBAMPETA,622,467,2
KHAMMAM,CHERLA,TEGADA,855,645,2
KHAMMAM,CHERLA,UPPERUGUDEM,393,238,1
KHAMMAM,CHINTHAKANI,ANANTHASAGAR,364,228,
KHAMMAM,CHINTHAKANI,BASVAPURAM,280,182,1
KHAMMAM,CHINTHAKANI,BOPPARAM,459,273,2
KHAMMAM,CHINTHAKANI,CHINAMANDAVA,414,270,2
KHAMMAM,CHINTHAKANI,CHINTHAKANI,1048,663,1
KHAMMAM,CHINTHAKANI,JAGANNADHAPURAM,210,146,1
KHAMMAM,CHINTHAKANI,KODUMUR,583,363,2
KHAMMAM,CHINTHAKANI,KOMATLAGUDEM,478,318,
KHAMMAM,CHINTHAKANI,LATCHAGUDEM,642,411,2
KHAMMAM,CHINTHAKANI,MATHKEPALLI,515,377,
KHAMMAM,CHINTHAKANI,NAGILI KONDA,562,381,
KHAMMAM,CHINTHAKANI,NAGULA VANCHA,1271,792,3
KHAMMAM,CHINTHAKANI,NERADA,598,398,
KHAMMAM,CHINTHAKANI,PANDILLAPALLI,409,261,2
KHAMMAM,CHINTHAKANI,PATHARLAPADU,810,506,2
KHAMMAM,CHINTHAKANI,PRODDUTUR,768,474,1
KHAMMAM,CHINTHAKANI,RAMAKRISHNAPURAM,703,442,2
KHAMMAM,CHINTHAKANI,SEETHAMPETA,353,230,1
KHAMMAM,CHINTHAKANI,THIMMINENIPALEM,563,374,1
KHAMMAM,CHINTHAKANI,VANDANAM,325,213,1
KHAMMAM,DAMMAPETA,AKINEPALLI,729,561,2
KHAMMAM,DAMMAPETA,ANKAMPALEM,533,400,1
KHAMMAM,DAMMAPETA,DAMMAPETA,1584,1110,10
KHAMMAM,DAMMAPETA,GANDHAGULAPALLI,428,317,1
KHAMMAM,DAMMAPETA,GANESHPADU,336,253,
KHAMMAM,DAMMAPETA,JAGGARAM,458,350,2
KHAMMAM,DAMMAPETA,JAMADARBANJAR,332,252,2
KHAMMAM,DAMMAPETA,LINGALAPALLI,275,215,1
KHAMMAM,DAMMAPETA,MALKARAM,1011,746,
KHAMMAM,DAMMAPETA,MANDALAPALLI,771,573,3
KHAMMAM,DAMMAPETA,MODDULAGUDEM,499,358,
KHAMMAM,DAMMAPETA,MONDIVARRE,499,366,1
KHAMMAM,DAMMAPETA,MUSTIBANDA,731,553,1
KHAMMAM,DAMMAPETA,NACHARAM,559,373,
KHAMMAM,DAMMAPETA,NAGUPALLI,559,376,2
KHAMMAM,DAMMAPETA,PATWARIGUDEM,1020,758,1
KHAMMAM,DAMMAPETA,PEDDAGOLLAGUDEM,632,435,
KHAMMAM,DAMMAPETA,TOTTIPAMPU,345,226,2
KHAMMAM,DUMMUGUDEM,ANJUBAKA,400,296,1
KHAMMAM,DUMMUGUDEM,ARLAGUDEM,516,447,1
KHAMMAM,DUMMUGUDEM,CHINA NALLABELLI,477,352,1
KHAMMAM,DUMMUGUDEM,DUMMUGUDEM,959,671,2
KHAMMAM,DUMMUGUDEM,GANGOLU,270,214,
KHAMMAM,DUMMUGUDEM,GOWRARAM,380,297,
KHAMMAM,DUMMUGUDEM,KASINAGARAM,317,201,
KHAMMAM,DUMMUGUDEM,KOTHAPALLI,701,583,
KHAMMAM,DUMMUGUDEM,LAXMINAGARAM,258,167,2
KHAMMAM,DUMMUGUDEM,MAHADEVAPURAM,481,318,
KHAMMAM,DUMMUGUDEM,MARAIGUDEM,982,799,
KHAMMAM,DUMMUGUDEM,NADIKUDI,598,440,
KHAMMAM,DUMMUGUDEM,NARSAPURAM,566,412,3
KHAMMAM,DUMMUGUDEM,PAIDIGUDEM,607,471,2
KHAMMAM,DUMMUGUDEM,PARNASALA,742,500,
KHAMMAM,DUMMUGUDEM,PEDAKAMALAPURAM,701,553,
KHAMMAM,DUMMUGUDEM,PEDANALLABALLI,791,539,1
KHAMMAM,DUMMUGUDEM,PRAGALLAPALLI,399,281,
KHAMMAM,DUMMUGUDEM,RAMARAOPETA,581,406,5
KHAMMAM,DUMMUGUDEM,SINGAVARAM,394,316,
KHAMMAM,DUMMUGUDEM,TURUBAKA,562,461,2
KHAMMAM,ENKURU,ARIKAYALAPADU,203,134,1
KHAMMAM,ENKURU,BHAGAVAN NAYAK THANDA,301,192,2
KHAMMAM,ENKURU,BURDA RAGHAVAPURAM,703,448,4
KHAMMAM,ENKURU,ENKURU,1049,635,5
KHAMMAM,ENKURU,JANNARAM,739,510,1
KHAMMAM,ENKURU,KESUPALLI,337,228,
KHAMMAM,ENKURU,NACHARAM,806,523,1
KHAMMAM,ENKURU,NUKULAMPADU,275,180,1
KHAMMAM,ENKURU,RAIMADARAM,479,290,1
KHAMMAM,ENKURU,RAJA LINGALA,579,412,1
KHAMMAM,ENKURU,REPALLEVADA,707,480,
KHAMMAM,ENKURU,SRIRAMGIRI,308,196,3
KHAMMAM,ENKURU,TIMMARAOPETA,632,418,3
KHAMMAM,ENKURU,TUTAKALINGANNA PETA,687,421,2
KHAMMAM,GARLA,BUDDHARAM,387,203,3
KHAMMAM,GARLA,GARLA,1421,733,4
KHAMMAM,GARLA,GOPALAPURAM,532,363,2
KHAMMAM,GARLA,MARRIGUDEM,628,376,1
KHAMMAM,GARLA,MULKANOOR,1831,1252,7
KHAMMAM,GARLA,POCHARAM,746,532,6
KHAMMAM,GARLA,PULLURU,1091,697,4
KHAMMAM,GARLA,RAMPURAM,565,373,2
KHAMMAM,GARLA,SEETHAMPETA,603,378,5
KHAMMAM,GARLA,SERIPURAM,571,407,
KHAMMAM,GUNDALA,ALLAPALLI,985,737,1
KHAMMAM,GUNDALA,ANANTHOGU,919,632,1
KHAMMAM,GUNDALA,GUNDALA,1994,1390,3
KHAMMAM,GUNDALA,MARKODU,1138,796,2
KHAMMAM,GUNDALA,SAYANNAPALLI,642,488,3
KHAMMAM,GUNDALA,SETTIPALLI,526,394,1
KHAMMAM,JULURPAD,ANANTHARAM,375,257,1
KHAMMAM,JULURPAD,BETHALAPADU,944,731,2
KHAMMAM,JULURPAD,GUNDEPUDI,1179,794,1
KHAMMAM,JULURPAD,JULURPAD,548,382,3
KHAMMAM,JULURPAD,KAKARLA,653,488,1
KHAMMAM,JULURPAD,KARIVARIGUDEM,312,202,2
KHAMMAM,JULURPAD,KOMMUGUDEM,365,216,1
KHAMMAM,JULURPAD,MACHINENIPETA,405,287,
KHAMMAM,JULURPAD,MACHINENIPETA  THANDA,417,276,1
KHAMMAM,JULURPAD,PADAMATA NARSAPURAM,561,359,2
KHAMMAM,JULURPAD,PAPAKOLLU,1463,1012,4
KHAMMAM,JULURPAD,VINOBHA NAGAR,207,132,
KHAMMAM,KALLUR,BATHULAPALLY,381,254,
KHAMMAM,KALLUR,CHANDRUPATLA,756,539,
KHAMMAM,KALLUR,CHENNURU,1222,906,1
KHAMMAM,KALLUR,CHINNA KORUKONDI,1078,723,5
KHAMMAM,KALLUR,GOKAVARAM,258,182,2
KHAMMAM,KALLUR,KALLURU,3958,2324,12
KHAMMAM,KALLUR,KORLAGUDEM,215,178,
KHAMMAM,KALLUR,LAKSHMIPURAM,272,189,3
KHAMMAM,KALLUR,LINGALA,292,217,1
KHAMMAM,KALLUR,MUCHARAM,561,387,2
KHAMMAM,KALLUR,MUGGUVENKATAPURAM,291,187,1
KHAMMAM,KALLUR,NARAYANAPURAM,285,160,
KHAMMAM,KALLUR,PAYAPUR,143,103,1
KHAMMAM,KALLUR,PEDDAKORUKONDI,549,388,1
KHAMMAM,KALLUR,PERUVANCHA,568,382,4
KHAMMAM,KALLUR,POCHARAM,116,78,
KHAMMAM,KALLUR,RAGHUNADHAGUDEM,339,275,
KHAMMAM,KALLUR,TALLURU,474,309,2
KHAMMAM,KALLUR,TELAGARAM,444,303,
KHAMMAM,KALLUR,V.N.THANDA,199,149,
KHAMMAM,KALLUR,VENNAVALLI,333,258,1
KHAMMAM,KALLUR,YAGNA NARAYANAPURAM,218,179,
KHAMMAM,KALLUR,YERRABOINAPALLI,587,402,3
KHAMMAM,KAMEPALLE,BASITH NAGAR,609,388,1
KHAMMAM,KAMEPALLE,GARIDEPALLI,300,219,1
KHAMMAM,KAMEPALLE,GOVINDRALA,1156,847,16
KHAMMAM,KAMEPALLE,JASTHIPALLI,602,413,3
KHAMMAM,KAMEPALLE,KAMEPALLI,1018,648,1
KHAMMAM,KAMEPALLE,KEPTAN BANJAR,310,211,1
KHAMMAM,KAMEPALLE,KOMMINEPALLI,1258,843,7
KHAMMAM,KAMEPALLE,KOTHA LINGALA,242,143,
KHAMMAM,KAMEPALLE,LINGALA,193,106,
KHAMMAM,KAMEPALLE,MADDULAPALLI,865,607,2
KHAMMAM,KAMEPALLE,MUCHERLA,621,398,1
KHAMMAM,KAMEPALLE,NEMILIPURI,316,241,
KHAMMAM,KAMEPALLE,PINJARAMADUGU,426,289,2
KHAMMAM,KAMEPALLE,PONNEKAL,1025,731,2
KHAMMAM,KAMEPALLE,SATHANIGUDEM,320,215,1
KHAMMAM,KAMEPALLE,THALLAGUDEM,342,227,5
KHAMMAM,KAMEPALLE,VOOTUKUR,567,379,2
KHAMMAM,KHAMMAM (RURAL),AREKODU,456,279,2
KHAMMAM,KHAMMAM (RURAL),AREMPALA,550,333,2
KHAMMAM,KHAMMAM (RURAL),CHINTAPALLI,343,234,
KHAMMAM,KHAMMAM (RURAL),DAREDU,613,382,1
KHAMMAM,KHAMMAM (RURAL),EDULAPURAM,1175,710,6
KHAMMAM,KHAMMAM (RURAL),GOLLAPADU,567,361,
KHAMMAM,KHAMMAM (RURAL),GUDIMALLA,905,615,4
KHAMMAM,KHAMMAM (RURAL),GUDURUPADU,340,232,
KHAMMAM,KHAMMAM (RURAL),GURRALAPADU,248,158,1
KHAMMAM,KHAMMAM (RURAL),KACHIRAJUGUDEM,433,273,2
KHAMMAM,KHAMMAM (RURAL),KAIKONDAIGUDEM,257,161,
KHAMMAM,KHAMMAM (RURAL),KAMANCHIKAL,482,345,
KHAMMAM,KHAMMAM (RURAL),KONDAPURAM,441,301,
KHAMMAM,KHAMMAM (RURAL),M.VENKATAYAPALEM,1333,826,3
KHAMMAM,KHAMMAM (RURAL),MADDULAPALLI,313,149,1
KHAMMAM,KHAMMAM (RURAL),MALLEMADUGU,425,271,2
KHAMMAM,KHAMMAM (RURAL),MANGALAGUDEM,638,450,2
KHAMMAM,KHAMMAM (RURAL),MUTHAGUDEM,887,593,5
KHAMMAM,KHAMMAM (RURAL),PEDDA THANDA,1339,615,6
KHAMMAM,KHAMMAM (RURAL),POLEPALLI,672,387,3
KHAMMAM,KHAMMAM (RURAL),PONNEKAL,437,289,2
KHAMMAM,KHAMMAM (RURAL),SEETHARAMPURAM (KASNA T,310,218,
KHAMMAM,KHAMMAM (RURAL),TALLAMPADU,765,455,2
KHAMMAM,KHAMMAM (RURAL),TANAGAMPADU,285,219,
KHAMMAM,KHAMMAM (RURAL),TELDARUPALLI,969,642,1
KHAMMAM,KHAMMAM (RURAL),THIRTHALA,757,530,1
KHAMMAM,KHAMMAM (RURAL),VENKATAGIRI,802,573,3
KHAMMAM,KHAMMAM (URBAN),ALLIPURAM,40,28,
KHAMMAM,KHAMMAM (URBAN),BALLEPALLI,72,37,
KHAMMAM,KHAMMAM (URBAN),BUDIDEMPADU,516,310,
KHAMMAM,KHAMMAM (URBAN),CHIMMAPUDI,562,424,
KHAMMAM,KHAMMAM (URBAN),DHAMSALAPURAM,20,5,
KHAMMAM,KHAMMAM (URBAN),EERLAPUDI,851,622,1
KHAMMAM,KHAMMAM (URBAN),GANESWARAM,329,222,2
KHAMMAM,KHAMMAM (URBAN),GOLLAGUDEM,58,22,
KHAMMAM,KHAMMAM (URBAN),KHANAPURAM (HAVELI),47,27,
KHAMMAM,KHAMMAM (URBAN),KOTAPADU,386,264,
KHAMMAM,KHAMMAM (URBAN),KOTHAGUDEM,18,9,
KHAMMAM,KHAMMAM (URBAN),KOYACHALKA,300,195,
KHAMMAM,KHAMMAM (URBAN),M.PALLE CHINTHAGURTHI,488,313,
KHAMMAM,KHAMMAM (URBAN),MALLEPALLI,742,427,5
KHAMMAM,KHAMMAM (URBAN),MANCHUGONDA,564,350,3
KHAMMAM,KHAMMAM (URBAN),PANGIDI,967,649,2
KHAMMAM,KHAMMAM (URBAN),PAPADAPALLE,660,379,
KHAMMAM,KHAMMAM (URBAN),RAGHUNADHA PALEM,1220,717,3
KHAMMAM,KHAMMAM (URBAN),RAMKYA THANDA,1224,817,5
KHAMMAM,KHAMMAM (URBAN),REGULA CHALKA,208,129,
KHAMMAM,KHAMMAM (URBAN),SIVAIGUDEM,165,91,1
KHAMMAM,KHAMMAM (URBAN),V.VENKATAYAPALEM,798,449,4
KHAMMAM,KHAMMAM (URBAN),VELUGUMATLA,31,24,
KHAMMAM,KHAMMAM (URBAN),VEPAKUNTLA,494,286,
KHAMMAM,KONIJERLA,AMMAPALEM,628,396,1
KHAMMAM,KONIJERLA,CHINA GOPATHI,422,260,
KHAMMAM,KONIJERLA,CHINA MUNAGALA,451,270,2
KHAMMAM,KONIJERLA,DUDDEPUDI,324,242,1
KHAMMAM,KONIJERLA,GOPARAM,266,159,1
KHAMMAM,KONIJERLA,GUBBAGURTHY,997,756,1
KHAMMAM,KONIJERLA,GUNDRATHI MADUGU,695,432,1
KHAMMAM,KONIJERLA,KONDAVANAMALA,594,380,2
KHAMMAM,KONIJERLA,KONIJERLA,1334,879,3
KHAMMAM,KONIJERLA,LALAPURAM,407,282,3
KHAMMAM,KONIJERLA,LINGA GUDEM,499,344,3
KHAMMAM,KONIJERLA,MALLUPALLI,356,237,1
KHAMMAM,KONIJERLA,PALLIPADU,864,566,2
KHAMMAM,KONIJERLA,PEDA GOPATHI,827,521,3
KHAMMAM,KONIJERLA,PEDA MUNAGALA,489,315,1
KHAMMAM,KONIJERLA,RAMANARSAIAH NAGAR,399,281,
KHAMMAM,KONIJERLA,SALEBANJAR,649,453,2
KHAMMAM,KONIJERLA,SINGARAIPALEM,614,433,
KHAMMAM,KONIJERLA,TANIKELLA,1346,816,3
KHAMMAM,KONIJERLA,TEEGALABANJAR,269,155,1
KHAMMAM,KONIJERLA,THUMMALAPALLI,701,530,5
KHAMMAM,KONIJERLA,UPPALACHALAKA,559,404,6
KHAMMAM,KOTHAGUDEM,3-Incline,500,249,5
KHAMMAM,KOTHAGUDEM,ANISETTIPALLI,269,144,
KHAMMAM,KOTHAGUDEM,BANGARU CHELKA,602,525,6
KHAMMAM,KOTHAGUDEM,CHATAKONDA (R),511,345,
KHAMMAM,KOTHAGUDEM,CHUNCHUPALLE,2590,1424,12
KHAMMAM,KOTHAGUDEM,GAREEBPETA,550,354,2
KHAMMAM,KOTHAGUDEM,KARUKONDA,1426,883,3
KHAMMAM,KOTHAGUDEM,LAXMIDEVIPALLE,1851,1142,4
KHAMMAM,KOTHAGUDEM,MYLARAM,509,407,2
KHAMMAM,KOTHAGUDEM,NARSIMHANAGAR,299,201,3
KHAMMAM,KOTHAGUDEM,PENAGADAPA,836,679,5
KHAMMAM,KOTHAGUDEM,PENUBALLI,562,408,1
KHAMMAM,KOTHAGUDEM,RAGHAVAPURAM,356,264,2
KHAMMAM,KOTHAGUDEM,REGALLA,1449,1059,7
KHAMMAM,KOTHAGUDEM,RUDRAMPUR,1281,704,1
KHAMMAM,KOTHAGUDEM,SARVARAM,1002,698,5
KHAMMAM,KOTHAGUDEM,SEETAMPETA,568,374,2
KHAMMAM,KOTHAGUDEM,SEETHARAMPURAM,1049,773,3
KHAMMAM,KOTHAGUDEM,SINGABHUPALEM,1281,889,6
KHAMMAM,KOTHAGUDEM,SUJATHANAGAR,1900,1246,3
KHAMMAM,KOTHAGUDEM,VENKATESH KHANI,36,28,
KHAMMAM,KUSUMANCHI,BHAGAYATH VEEDU,109,94,1
KHAMMAM,KUSUMANCHI,CHEGOMMA,533,369,2
KHAMMAM,KUSUMANCHI,CHOWTAPALLI,532,401,1
KHAMMAM,KUSUMANCHI,ESWARAMADARAM,429,243,2
KHAMMAM,KUSUMANCHI,GAIGOLLAPALLI,848,640,4
KHAMMAM,KUSUMANCHI,GANGABANDA THANDA,171,133,
KHAMMAM,KUSUMANCHI,GATTU SINGARAM,699,470,1
KHAMMAM,KUSUMANCHI,GORILAPAD THANDA,422,306,1
KHAMMAM,KUSUMANCHI,GURVAIGUDEM,178,135,1
