district_,mandal,gp,female,male,transgender
NALGONDA,ALAIR,ALAIR,2318,1147,11.0
NALGONDA,ALAIR,AMMANABOLE,470,336,
NALGONDA,ALAIR,BAHADURPET,204,124,
NALGONDA,ALAIR,DILAWARPUR,179,109,
NALGONDA,ALAIR,GOLANKONDA,484,273,3.0
NALGONDA,ALAIR,GUNDLAGUDEM,341,163,
NALGONDA,ALAIR,IKKURTHI,281,162,2.0
NALGONDA,ALAIR,KOLANUPAKA,1794,910,3.0
NALGONDA,ALAIR,KOLLUR,493,317,1.0
NALGONDA,ALAIR,MANDANPALLY,231,117,1.0
NALGONDA,ALAIR,MANTHAPURI,267,162,2.0
NALGONDA,ALAIR,MATOOR,379,209,2.0
NALGONDA,ALAIR,PATELGUDA,416,282,1.0
NALGONDA,ALAIR,RAGHAVAPUR,257,146,
NALGONDA,ALAIR,SHARAJIPET,534,284,1.0
NALGONDA,ALAIR,SHARBANAPUR,112,51,
NALGONDA,ALAIR,TANGUTOOR,479,251,3.0
NALGONDA,ALAIR,THURPU GUDEM,173,76,
NALGONDA,ANUMULA,ALWALA,695,448,1.0
NALGONDA,ANUMULA,ANNARAM,404,239,
NALGONDA,ANUMULA,ANUMULA,2188,1181,2.0
NALGONDA,ANUMULA,BOYA GUDA,339,237,5.0
NALGONDA,ANUMULA,CHELMAREDDY GUDA,450,226,
NALGONDA,ANUMULA,GARKANATTUTHANDA,638,442,2.0
NALGONDA,ANUMULA,HAZARIGUDA,220,128,
NALGONDA,ANUMULA,IBRAHIM PETA,613,385,1.0
NALGONDA,ANUMULA,KOMPALLI,337,189,1.0
NALGONDA,ANUMULA,KORIVENIGUDA,165,120,
NALGONDA,ANUMULA,KOTHAPALLI,813,495,
NALGONDA,ANUMULA,MAREPALLI,528,348,1.0
NALGONDA,ANUMULA,NAIDU PALEM,226,133,
NALGONDA,ANUMULA,PALEM,290,169,
NALGONDA,ANUMULA,PERUR,684,404,2.0
NALGONDA,ANUMULA,PULIMAMIDI,430,260,1.0
NALGONDA,ANUMULA,RAJAVARAM,536,349,1.0
NALGONDA,ANUMULA,RAMADUGU,541,344,3.0
NALGONDA,ANUMULA,RANGUNDLA,1094,763,3.0
NALGONDA,ANUMULA,SILGAPURAM,214,129,1.0
NALGONDA,ANUMULA,SREENADHAPUR,277,185,
NALGONDA,ANUMULA,SREERAMPUR,439,260,
NALGONDA,ANUMULA,THIMMAPUR,209,122,
NALGONDA,ANUMULA,TIRUMALAGIRI,693,338,2.0
