district_,mandal,muncipality,wardname,female,male,transgender
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.1,329,233,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.10,209,109,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.11,172,71,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.12,100,46,1.0
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.13,311,239,1.0
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.14,219,126,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.15,266,170,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.16,157,57,1.0
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.17,309,182,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.18,340,261,1.0
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.19,504,357,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.2,303,191,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.20,169,112,2.0
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.3,431,267,1.0
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.4,243,157,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.5,306,201,1.0
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.6,179,110,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.7,195,114,
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.8,301,173,1.0
RANGA REDDY,HAYATHNAGAR,Pedd Amberpet,Revenue Ward No.9,239,172,1.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.1,186,123,1.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.10,276,173,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.11,192,96,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.12,146,94,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.13,63,27,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.14,13,6,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.15,15,8,1.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.16,30,22,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.17,549,342,4.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.18,31,19,1.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.19,68,46,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.2,192,118,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.20,204,111,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.3,106,57,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.4,241,166,
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.5,567,305,2.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.6,162,93,1.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.7,384,221,1.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.8,264,174,1.0
RANGA REDDY,IBRAHIMPATNAM,Ibrahimpatnam,Revenue Ward No.9,121,66,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.1,228,121,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.10,222,113,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.11,198,107,1.0
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.12,201,91,1.0
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.13,197,126,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.14,315,177,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.15,233,112,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.16,151,70,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.17,200,94,1.0
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.18,228,144,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.19,171,87,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.2,242,118,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.20,160,79,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.3,266,132,1.0
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.4,344,208,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.5,180,99,2.0
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.6,273,173,1.0
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.7,289,178,1.0
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.8,292,154,
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.9,435,336,
